Unnamed: 0,id,headline,summary,category,suggestions,img,Category
10,10,Amy Schumer feels 'like a new person' after operations to treat endometriosis,"Endometriosis is an often painful and incurable disorder in which the tissue similar to the kind that lines the uterus grows outside it and in other areas of the body, including the ovaries, the fallopian tubes and the bladder, according to the U.S. Office on Women's Health, which notes that doctors estimate it affects at least 6.5 million women nationwide. Schumer said she continues to struggle with compulsive hair pulling, adding that hair extensions are the only reason I can be on camera"" and that she worries her son will also develop it. In the new docuseries, Schumer said she struggled with endometriosisinduced pain since she started menstruating when she was around 11 years old: I would hopefully get a good week a month where I wasnt in pretty significant pain, still trying to achieve, still trying to go through life, and its been really difficult.""",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
11,11,"Blacklisted Russian propagandists thrive on right-wing apps Gab and Truth Social, study finds","A report published Tuesday by the Stanford Internet Observatory and the social media analytics firm Graphika indicates that some of the same people tied to Russias Internet Research Agency are active on the four major platforms launched in recent years to target those who deem mainstream social media companies too liberal: Gab, Gettr, Parler, and former President Donald Trumps service, Truth Social. Since the indictment, Facebook and Twitter have periodically purged accounts from their platforms that they tie to the same operators, and those accounts rarely gain much from users. In 2018, former FBI Director Robert Mueller, then a special counsel for the Justice Department, indicted the IRA, Prigozhin and 12 others involved in its operations.",tech,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,tech
12,12,Pope Francis sympathized with migrant caravans seeking 'freedom and well-being',"
ROME  Pope Francis sympathized Monday with the caravans of Latin Americans seeking freedom and wellbeing in the U.S. as he celebrated a major feast day dedicated to Our Lady of Guadalupe with a Mass in St. Peters Basilica. Francis also warned against any ideological exploitation of the image of the Guadalupe Virgin, whose mixed, mestiza complexion has long been held up by the Catholic Church as a positive model of the colonialera encounter between Europe and the Americas. Francis noted that church preparations are underway for the 500th anniversary celebrations of the original apparition, and he called for them to take place in the context of the true spirit of Guadalupe.",politics,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,politics
13,13,Twitter disbands its Trust and Safety Council,"Anne Collier, the founder and executive director of the nonprofit The Net Safety Collaborative, announced her resignation and those of two other council members in a tweet, to which rightwing activist Jack Posobiec responded that council members ""belong in jail"" because of the company's past handling of child sexual abuse material. ""The way this has unfolded and way members have been treated is unfortunate and unacceptable,"" said Holmes, a member of the advisory board of the Bill and Melinda Gates Foundation and the deputy CEO of the nonprofit group The Diana Award. Musk has addressed concerns about abuse and misinformation flourishing on the platform by saying the company will embrace ""freedom of speech, but not freedom of reach.""",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
14,14,Firmageddon': Researchers find 1.1 million acres of dead trees in Oregon,"Little about the process has changed during that time, according to Glenn Kohler, an entomologist with the Washington State Department of Natural Resources, which operates the program alongside the U.S. Forest Service and Oregon Department of Forestry. DePinte said damage was most pronounced in White, Shasta and Red firs on the eastern side of the Cascade Mountain ranges crest, where the climate is drier. When I looked at it and crunched the numbers, it was almost twice as bad as far as acres impacted than anything we had previously documented, said Danny DePinte, an aerial survey program manager for the U.S. Forest Service.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
15,15,"Myocarditis after Covid vaccine low among teens and young adults, large study finds","While the studys findings are reassuring, the vaccineassociated heart problems should not be viewed as always mild, said Dr. Dan Barouch, director of the Center for Virology and Vaccine Research at Beth Israel Deaconess Medical Center in Boston. Its also been seen after smallpox vaccination, he said, though the number of cases may appear higher after Covid vaccines because were paying so much more attention. It also doesn't address what makes young men more susceptible to the heartrelated health conditions, although some experts expect the viruss spike protein, once produced in the cell after vaccination, may generate a reaction in the body that can cause inflammation in the heart.",business,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/rockcms/2022-12/221205-moderna-vaccine-jm-1328-c94810.jpg",business
16,16,"Inflation slows to 7.1% for November, another sign the economy is cooling off","In other words, some of the higher prices that have bedeviled consumers could be here to stay, said Gregory Daco, the chief economist at EYParthenon, a unit of Ernst  Young LLP. Last week, an alternative measure of inflation that tracks producers of goods and services also showed slowing price growth. ""In a tight labor market, where the value of talent has increased, you're not going to be cutting wages as a business owner, and you're probably still shortstaffed,"" he said.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
17,17,Puerto Rico's shoreline changes after Hurricane Maria heighten coastal flooding risk for residents,"An estimated 99 kilometers 62 miles of Puerto Rico's shoreline has moved inland as of July 2018, according to a recent report by the Coastal Research and Planning Institute of Puerto Rico. The Coastal Research and Planning Institute of Puerto Rico conducted its study with the help of a 1.4 million grant from the Federal Emergency Management Agency. Barreto Orta, a geological oceanographer specializing in coastal erosion, emphasized that failure to keep track of changing shorelines and beaches will result in poor coastal management that could cost lives and damage infrastructure.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
18,18,Protesters block construction of Arizona border wall made of shipping containers,"His species once flourished across the U.S., but it was hunted into extinction first by European settlers and later by the U.S. government, said Michael Robinson, a senior conservation advocate at the Center for Biological Diversity. Andy Kayner, who lives 10 miles from the U.S.Mexico border, said at least two of his neighbors have been run off the road by speeding trucks too large to maneuver the narrow lane. The lawsuit, filed in U.S. District Court for Arizona, intends to resolve the states authority to protect its citizens granted to it by the U.S. Constitution, the governors office said in a statement announcing the lawsuit.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
19,19,"Student loan borrowers thought they were getting relief. Now, courts have put their lives on hold.","Thomas Gokey, a policy director at the Debt Collective, a membershipbased union for debtors, said the secretary of Education has authority to ""cancel student debt in the event of an emergency"" under the HEROES Act of 2003 and ""to compromise and settle student loans for any reason"" under the Higher Education Act of 1965, which in part regulates how the secretary may administer existing loan forgiveness programs. The application was made to exclude a small number of student loan borrowers about 3 who earn over 125,000 from receiving relief during the first two years of the pandemic, Gokey said. NBC News spoke to a dozen student loan forgiveness applicants nationwide, ages 24 to 60, who had hoped for relief from their crippling debt  which has left some struggling to afford medical expenses and basic necessities and others unable to buy a home or start a family.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
20,20,"Workers and consumers say they're likely to favor pro-LGBTQ businesses, study finds","In conversations with its corporate clients, Edelman found that the growing hostility toward LGBTQ people has made companies nervous to take a firm public stance with the LGBTQ community. It found that young shoppers especially tend to find brands that pledge support to LGBTQ communities more relevant and relatable. Though this year has brought more corporate hesitation around LGBTQ support, some employees and customers have nonetheless succeeded in pressuring brands to enter the conversation in ways that go beyond rainbow logos.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
21,21,"Next year is a good time to buy an EV — but for many consumers, 2024 might be better","If you wouldnt do it without a tax credit, Im not sure thats the reason to do it under the new incentive structure, said Stephanie Brinley, associate director of research and analysis at SP Global. In October, GM CEO Mary Barra told analysts it would be two to three years before the company  which makes the Chevy Bolt, among the cheapest new EVs on the market at 25,600  can offer buyers the full 7,500 credit. The credit for used EVs comes with a lot of fine print: An individuals modified adjusted gross income cant exceed 75,000, and the vehicle must be at least two modelyears old.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
22,22,Donors meet in Paris to get Ukraine through winter and Russian bombing,"Zelenskyy argued that a concerted international effort to keep Ukraines utility systems working could help dissuade Moscow from further attacks and potentially force it to the negotiating table, and also prevent new waves of Ukrainians fleeing to elsewhere in Europe. Ukrainian President Volodymyr Zelenskyy, who addressed the Paris conference by video link, said some 12 million Ukrainians  roughly onequarter of the countrys preinvasion population  are living with power outages stemming from Russian bombardments. Frances Foreign Ministry said a total of 1.1 billion in financial and inkind aid was pledged, all of it expected to reach Ukraine over the toughest winter months before April.",business,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/rockcms/2022-12/221213-ukraine-power-mb-1307-1ebb3f.jpg",business
23,23,"Tina Turner's son Ronnie died of colon cancer complications, medical examiner says","Atherosclerosis is the hardening and narrowing of arteries caused by cholesterol plaque in and on the artery walls, and cardiovascular disease means heart disease, according to the Mayo Clinic. This is a tragedy u with your brother Craig and your father Ike Turner and Alline rest in paradise So unfair, she wrote. While his family made their name in the world of music, Ronnie Turner turned to acting, appearing in the 1993 film Whats Love Got to Do with It, about his mothers rise to stardom.",politics,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/rockcms/2022-12/221209-Ronnie-Turner-al-1320-b478b4.jpg",politics
24,24,"Hair oiling, cups of tea and mom's beauty secrets: Welcome to South Asian Gen Z’s ‘auntie’ era","Having grown up on the internet, Sambasivam has seen her fair share of Asian cultural staples coopted by white people. For You pages are now filled with the faces of brown women sharing their hair oiling secrets, moms recipes, traditional clothes and mehendi designs. But Bangalores view of entering the auntie era goes beyond physical beauty, and she said shes reconnected with meditation and yoga as part of the same transformation.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
25,25,Who will win in Ukraine? It could hinge on which side can secure enough artillery ammunition,"Theres no question that its put pressure on our own stockpiles, he said at a virtual meeting of George Washington Universitys Project for Media and National Security. When Russian forces invaded Feb. 24, Ukraine found itself in a vulnerable position when it came to artillery ammunition supplies, due to a damaging sabotage campaign over several years. The vast amount of weapons and ammunition expended in Ukraine has prompted Pentagon leaders to reexamine Americas contingency plans and stockpiles in the case of future conflicts, and to consider whether weve done the right math, Gen. Mark Milley, chairman of the Joint Chiefs of Staff, said at The Wall Street Journals CEO Council Summit in Washington last week.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
26,26,House GOP’s inclusion of 'salacious' Commanders cheerleaders photos in official memo draws blowback,"The attorneys, Lisa Banks and Debra Katz, wrote a letter Tuesday to Rep. James Comer, RKy., ranking member on the House Oversight and Reform Committee, saying that their ""clients are both humiliated and incensed by the GOPs reckless dissemination of these photographs in an official Congressional document."" 
WASHINGTON  Lawyers for more than 40 former Washington Commanders employees are demanding that House Republicans remove ""sexualized and salacious photographs"" of the NFL team's cheerleaders featured in a GOPwritten memo about the football team. The GOP's inclusion of the photos was a ""desperate effort,"" the employees' attorneys wrote, to protect team owner Daniel Snyder from the scathing findings in that report.",business,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/rockcms/2022-12/221213-washington-commanders-mn-1525-26636c.jpg",business
27,27,2 boaters and their dog found safe after being stranded at sea,"They were last heard from Dec. 3 as they left North Carolina, the Coast Guard said in a statement. The Coast Guard, the Navy and other agencies and services searched more than 21,164 square miles of water in all, the Coast Guard said. We are overjoyed with the outcome of the case and look forward to reuniting Mr. Hyde and Mr. Ditomasso with their family and friends, Cmdr.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
28,28,"The FTX collapse, explained","But the balance sheets of BankmanFrieds firms were never audited, according to the companys bankruptcy court filings, meaning there is no reliable account or paper trail of what money the company had and where it went. Heres the basics of what went down:
FTX is a digital currency exchange, a platform where people could buy and sell digital assets like bitcoin, dogecoin and ether. Though the extent of the connections between Alameda and FTX were not yet public, a series of recent crypto platform collapses had already put the crypto community on edge.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
29,29,"Disgraced FTX CEO Sam Bankman-Fried 'orchestrated yearslong fraud' on investors and customers, SEC and criminal charges say","We allege that Sam BankmanFried built a house of cards on a foundation of deception while telling investors that it was one of the safest buildings in crypto, SEC Chair Gary Gensler said. Separately, in a filing Tuesday also in the Southern District of New York, the SEC charged him with defrauding investors and enriching Alameda. The SEC said in a news release that BankmanFried raised more than 1.8 billion from equity investors since he cofounded FTX in May 2019, based in the Bahamas, and alleged that he orchestrated a yearslong fraud to conceal the undisclosed diversion of FTX customers funds to Alameda.",business,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_focal-60x60,f_auto,q_auto:best/rockcms/2022-12/221213-twitch-logo-ew-356p-e66294.jpg",business
30,30,"How ""Tár"" dispels the toxic lesbian stereotypes found in so many films","From the 1936 film Draculas Daughter, about a female vampire  who secretly craves women, to 1961s The Childrens Hour, where a schoolteacher played by Shirley MacLaine commits suicide after shes accused of being a lesbian, to 2003s Monster, for which Charlize Theron won an Oscar for playing a street prostitute and killer who dies by lethal injection, there are no happy endings. The film opens at the elite New Yorker Festival, where the writer Adam Gopnik, playing himself, recites a long list of her accomplishments while she listens smiling, relaxed in her chair, supremely at ease in her body, in that company. Now we have Tr, with the magnificent Cate Blanchett playing Lydia Tr, her second major role as a lesbian after her Oscarnominated turn in Carol.",politics,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,politics
31,31,The biggest problem with Harry and Meghan’s new Netflix series,"Freed from the constraints of the royal familys never complain, never explain policy and without an NDA, as Meghan disclosed in her interview with The Cut earlier this year, Harry and Meghan now had free rein to discuss their time as working royals, and the factors that led them to leave their roles. Harry and Meghan still have the potential to be a unique hybrid of unofficial statespersons, philanthropic ambassadors and celebrities with a nearcelestial kind of star power. At the very least, it could have offered something new about their present, like an indepth look at how theyre navigating life in California and building their Archewell Foundation.",politics,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,politics
32,32,How Dutch farmers became the center of a global right-wing culture war,"On Nov. 25, the Dutch government said it would adopt measures set out in a report from former deputy prime minister Johan Remkes  who has been mediating between the government and the farmers  in which highemission farms would have to radically reduce emissions, move or shut within a year or face compulsory purchase. Icke said Nov. 4 that the Dutch government banned him from entering the Netherlands to appear at a rally, posting a letter from the Department of Justice on his website. The great reset phrase comes from a World Economic Forum summit in 2020 where the forum and Britains King Charles III, then the Prince of Wales, launched a program designed to boost innovation and collaboration.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
33,33,Jay Leno: I got a face full of gas and caught on fire while working in garage,"Leno had serious burns to his hands and chest and thirddegree burns to his face after his vintage car erupted in flames Nov. 12 in his Los Angeles garage. Leno, 72, the former Tonight Show host, shared details about the fire at his Los Angeles garage and his injuries in an exclusive interview that will air Wednesday on NBC's ""TODAY"" show. A smiling Leno posed for pictures with hospital staff members on his way out, revealing some of his burns.",politics,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,politics
34,34,Hotel employees comedian Mark Curry accused of racial profiling are suspended until further notice,"""There was no reason for Mark to be singled out except for the fact that hes a black man, Holly Robinson Peete wrote in a tweet in which she reposted Curry's video. When Curry went to the reception desk a short while later to complain to the receptionist, she asked him for his information. Both employees in a 26minute video shared by Curry on his Instagram account were suspended, said a spokesperson for The Mining Exchange in Colorado Springs, a franchise of Wyndham Hotels  Resorts.",sport,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,sport
35,35,A new annual ritual: Debating whether to retouch the family holiday photo,"While I didnt mind talking about my daughters teeth if a fellow parent at the park asked, I thought it would be different when the questions were coming from inlaws, workmates or a more successful sorority sister whose four kids all have perfect dental hygiene. Elles teeth stains forced me to grapple with one of the modern dilemmas of parenthood, one that frequently hovers over Instagram and Facebook posts but becomes nearly inescapable when putting together the annual holiday card: to edit or not to edit. Just a few weeks before, my husband and I thought wed found the perfect solution to the cavities the dentist told us our 2yearold had on three of her front teeth: Instead of fillings, and the general anesthesia that goes with them, Elle could get a fluoride treatment that halts the cavities growth but turns the affected area black.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
36,36,Federal prisons are supposed to provide addiction medication. Prisoners are punished for using it.,"The Marshall Project spoke to more than 20 people struggling with addictions in federal prison, and they described the dire consequences of being unable to safely access a treatment that Congress has instructed prisons to provide. That began to change in 2018, when the First Step Act was passed and prisons and jails across the country began losing lawsuits from prisoners who argued it was cruel and unusual to deny them the addiction medicine theyd been taking before they were incarcerated. This man, who asked not to be named because he feared retaliation by bureau officials, said in a phone interview and letters to The Marshall Project that he had his jaw broken by another prisoner and had to spend time in protective custody because Ive run up bills and I cant pay for the stuff, telling people lies.",business,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/rockcms/2022-12/221207-MP-suboxone-federal-prisons-2x1-an-9956b7.jpg",business
37,37,How denying F-22 sales to allies led to a U.K.-Japan-Italy stealth plane project,"Lastly, both the U.S. and its allies find it politically easier to invest in their own defenses when theyre procuring platforms from domestic companies, meaning their payments boost their own economy. If Tokyo, Rome and London can together overcome the admittedly nontrivial hurdles of cooperative development, then they may lower both research and development and procurement costs considerably, and come out with a better overall fighter using the best systems from each country  something that would be costprohibitive and have higher risk of failure if they acted on their own. Now, this does spell some trouble for U.S. defense giants  if the only concern is their bottom line.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
38,38,Tornadoes tear through swaths of North Texas and southern Oklahoma,"In the frigid weather in the Northern part of the country, all roads from Nebraska into Colorado were closed Tuesday because of the major winter storm, which included very low visibility, the Nebraska Transportation Department said. In Louisiana, a woman was hospitalized and two people were missing after a tornado touched down south of Shreveport, damaging several homes and knocking down trees and power lines, the Caddo Parish Sheriff's Office said in a statement. Downed power lines and trees littered roads, and authorities asked residents to avoid certain neighborhoods as public safety crews to their work Tuesday.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
39,39,Michelle Yeoh joins cast of Jon M. Chu's 'Wicked' films,"With more space, we can tell the story of Wicked as it was meant to be told while bringing even more depth and surprise to the journeys for these beloved characters. Variety also exclusively reported that Bridgerton star Jonathan Bailey will play Fiyero and Broadway veteran Ethan Slater, who scored a Tony nomination for SpongeBob SquarePants: The Musical, will take on the role of Boq. Chus twopart feature adaptation is headlined by Ariana Grande as Glinda and Cynthia Erivo as Elphaba.",politics,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,politics
40,40,"Asian Americans heavily favored Warnock in Georgia runoff, exit poll shows","While the results reflect that the votes of Asian Americans, who are 4.7 of the states overall electorate, grew in support for Warnock since the midterm elections last month, Phi Nguyen, the executive director of Asian Americans Advancing JusticeAtlanta, said that whether or not the party can sustain the momentum and loyalty requires longterm engagement. Karthick Ramakrishnan, the founder of the research and civic engagement organization AAPI Data, said that while there are important insights to be drawn from the poll, particularly because the Asian American Legal Defense and Education Fund is also involved in poll monitoring, there are a few limitations. It showed that support for Warnock in the runoff exceeded that in the general election last month, when 60 said they favored Warnock.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
41,41,"POTS, a debilitating heart condition, is linked to Covid and, to a lesser degree, vaccines","
Research published Monday has confirmed a link between a Covid infection and a debilitating heart condition called POTS, or postural orthostatic tachycardia syndrome, that has been diagnosed in some patients with long Covid. Physicians often fail to recognize the condition, experts say, because it can be confused with a myriad of other health problems, including anxiety and dehydration. He also said that the link between POTS and Covid vaccination needs to be confirmed with further studies.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
42,42,"States with more abortion restrictions have higher maternal and infant mortality, report finds","People of color, those who are uninsured and those who live on low incomes or in underserved areas already face additional risks that threaten their lives during pregnancy, such as difficulty accessing consistent pre and postnatal care, said Dr. Laurie Zephyrin, the senior vice president for advancing health equity at the Commonwealth Fund. The Commonwealth Fund analysis found that an estimated 39 of counties in the states categorized as having the most restrictive abortion rules are considered maternity care deserts. For the new analysis, Zephyrin and her coauthors used data from the Centers of Disease Control and Prevention, as well as an index quantifying levels of abortion access from the Guttmacher Institute, an abortion rights research and advocacy group.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
43,43,Megan Thee Stallion tells court that Tory Lanez shot her feet,"She testified she felt ""shock"" and ""hurt"" and saw blood on her feet after Lanez shot her following a party at Kylie Jenner's home on July 12 of that year, City News Service reported. I believe once everybodys heard parts and pieces of the case, once the whole case comes about, I think were confident the jury will find my client not guilty and hell be exonerated of all the charges,"" Mgdesyan said. The incident occurred in the summer of 2020, while protests continued across the country in reaction to the murder of George Floyd and assaults on other Black people who were injured at the hands of police.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
44,44,Scientists declare Mauna Loa and Kilauea are 'no longer erupting',"Lava supply to a Mauna Loa fissure ceased on Saturday, the observatory said, and volcanic tremor and earthquakes associated with the eruption greatly diminished. Mauna Loa began spewing molten rock Nov. 27 after being quiet for 38 years, drawing onlookers to take in the incandescent spectacle, and setting some nerves on edge early on among people whove lived through destructive eruptions. 
HONOLULU  U.S. scientists declared Tuesday that two active Hawaii volcanoes  one where lava destroyed hundreds of homes in 2018 and another where lava recently stalled before reaching a crucial Big Island highway  have stopped erupting.",business,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/rockcms/2022-12/221213-hawaii-mauna-loa-volcano-se-218p-996f66.jpg",business
45,45,Facebook hit with $2 billion lawsuit connected to political violence in Africa,"The company said at that time that Ethiopia was a particularly challenging environment for content moderation due in part to the many different languages spoken in the country, but that it had been classified internally as one of the countries at highest risk for conflict and violence for two years. DelMoro, the Facebook spokesman, declined to answer specific questions about the companys content moderation staffing for Ethiopia, but he pointed to changes the company announced on Nov. 9, 2021, about a week after Mearegs murder, which allows Facebook to proactively address potentially violent material in Ethiopia. Those targeted posts came amid others made by prominent Facebook users in the country calling for violence against the Tigrayans, according to the affidavit.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
46,46,U.S. is set to approve sending Patriot missile battery to Ukraine,"And he said protecting Ukraines energy facilities from Russian missiles and Iranian drones will be the protection of the whole of Europe, since with these strikes Russia is provoking a humanitarian and migration catastrophe not only for Ukraine, but also for the entire E.U. In a video conference Monday, Zelenskyy told host Germany and other leaders of the Group of Seven industrial powers that his country needed longrange missiles, modern tanks, artillery, missile batteries and other hightech air defense systems to counter Russian attacks that have knocked out electricity and water supplies for millions of Ukrainians. U.S. officials had balked at providing the weapons to Ukraine because they could be considered an escalation that would trigger a response from Moscow.",business,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/rockcms/2022-12/221213-patriot-missles-ukraine-mjf-1925-acedf8.jpg",business
